"","datadate","gvkey","viol","Year","Month","Day","Date","gvkey.1","datadate.1","Year.1","fyearq","fqtr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","aqcy","capxy","prstkcy","costat","dvpspq","dvpsxq","prccq","datacqtr.1","gvkey.2","cikSEC","nameSEC"
"1",9302006,1021,1,2006,9,30,"30.09.2006",1021,"30.09.2006",2006,2007,1,"INDL","C","D","STD","USD","2006Q3","2007Q1",13.501,14.305,5.233,12.429,1.063,0,4.108,4.174,-0.542,0.36,5.492,10.131,0,0.115,0.039,0,"I",0,0,1.75,"2004Q1",1021,319126,"AFP IMAGING CORP"
"2",6302005,1034,1,2005,6,30,"30.06.2005",1034,"30.06.2005",2005,2005,2,"INDL","C","D","STD","USD","2005Q2","2005Q2",519.309,1754.727,50.689,53.283,168.385,363.366,489.194,918.239,45.63,428.335,137.639,836.488,33.253,0,16.41,0,"I",0.045,0.045,14.47,"2004Q1",1034,730469,"ALPHARMA INC"
"3",9302005,1034,1,2005,9,30,"30.09.2005",1034,"30.09.2005",2005,2005,3,"INDL","C","D","STD","USD","2005Q3","2005Q3",533.06,1749.726,59.028,53.46,167.575,330.702,504.648,901.286,45.606,422.043,135.525,848.44,33.079,0,27.506,0,"I",0.045,0.045,24.87,"2004Q1",1034,730469,"ALPHARMA INC"
"4",12312005,1034,1,2005,12,31,"31.12.2005",1034,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",1037.047,1623.383,800.01,54.078,416.669,0.017,665.257,705.305,54.09,215.174,156.36,918.078,18.468,NA,38.939,0,"I",0.045,0.045,28.51,"2004Q1",1034,730469,"ALPHARMA INC"
"5",3312006,1045,1,2006,3,31,"31.03.2006",1045,"31.03.2006",2006,2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",6820,29918,4778,189.388,1185,13165,8744,31190,402,18362,5344,-1272,0,0,104,0,"A",0,0,27.05,"2004Q1",1045,6201,"AMR CORP"
"6",3312005,1050,1,2005,3,31,"31.03.2005",1050,"31.03.2005",2005,2005,1,"INDL","C","D","STD","USD","2005Q1","2005Q1",19.215,40.661,0.402,9.993,8.581,7.416,22.216,34.044,-0.668,9.343,15.055,6.617,2.462,0,0.228,0,"A",0,0,3.36,"2004Q1",1050,3197,"CECO ENVIRONMENTAL CORP"
"7",6302004,1050,1,2004,6,30,"30.06.2004",1050,"30.06.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",18.829,40.827,0.155,9.992,7.857,8.81,19.746,33.49,0.414,9.571,15.071,7.337,2.419,0,0.119,0,"A",0,0,1.794,"2004Q1",1050,3197,"CECO ENVIRONMENTAL CORP"
"8",6302005,1050,1,2005,6,30,"30.06.2005",1050,"30.06.2005",2005,2005,2,"INDL","C","D","STD","USD","2005Q2","2005Q2",22.965,44.229,0.486,9.993,8.98,7.488,25.507,37.378,1.483,9.168,20.015,6.851,2.462,0,0.32,0,"A",0,0,3.03,"2004Q1",1050,3197,"CECO ENVIRONMENTAL CORP"
"9",9302004,1050,1,2004,9,30,"30.09.2004",1050,"30.09.2004",2004,2004,3,"INDL","C","D","STD","USD","2004Q3","2004Q3",22.657,44.508,0.204,9.992,4.712,11.437,20.715,36.886,1.058,9.467,18.566,7.622,2.542,0,0.281,0,"A",0,0,2.12,"2004Q1",1050,3197,"CECO ENVIRONMENTAL CORP"
"10",12312004,1050,1,2004,12,31,"31.12.2004",1050,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",21.779,43.441,0.339,9.993,4.188,11.894,19.869,36.192,0.809,9.385,21.655,7.249,2.462,0,0.472,0,"A",0,0,3.44,"2004Q1",1050,3197,"CECO ENVIRONMENTAL CORP"
"11",6302004,1094,1,2004,6,30,"30.06.2004",1094,"30.06.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q2","2004Q4",132.974,149.697,33.218,16.045,1,0,48.845,49.274,NA,2.654,76.13,100.266,0,4.632,0.706,0,"A",0.085,0.085,17.6,"2004Q1",1094,2034,"ACETO CORP"
